ID,fear of infection,difficulty in outside activities,economic loss,disturbance in eating and sleeping,adaptive stress,perception of stress
860,31,23,4,5.0,8,25
861,45,23,10,11.0,16,20
862,35,18,3,4.0,9,20
863,26,20,10,12.0,11,23
864,30,13,3,4.0,10,24
865,41,30,9,13.0,14,18
866,39,26,7,11.0,9,21
867,33,29,6,10.0,14,16
868,41,29,3,13.0,18,25
869,42,25,8,10.0,15,20
870,38,29,3,5.0,10,18
871,33,27,8,12.0,11,19
872,37,29,10,8.0,14,19
873,40,27,8,10.0,17,20
874,31,24,6,9.0,11,21
875,45,26,8,15.0,13,24
876,26,21,3,6.0,6,31
877,37,28,10,10.0,16,23
878,33,20,10,7.0,12,13
879,35,24,6,11.0,14,13
880,40,23,8,8.0,10,12
881,44,25,8,4.0,16,16
882,28,23,8,7.0,13,20
883,35,28,6,14.0,5,28
884,44,28,10,6.0,15,20
885,39,19,9,6.0,13,19
886,30,27,4,13.0,8,26
887,34,22,10,8.0,9,18
888,39,29,9,15.0,10,25
889,30,29,8,13.0,8,23
890,39,23,5,6.0,10,19
891,34,30,9,9.0,11,21
892,34,25,4,6.0,8,16
893,31,25,6,5.0,10,23
894,34,16,5,7.0,13,16
895,35,29,6,3.0,9,20
896,28,18,5,9.0,10,20
897,37,27,10,10.0,13,19
898,29,25,7,9.0,11,18
899,40,27,7,12.0,9,19
900,30,16,4,6.0,5,18
901,35,23,3,7.0,7,20
902,41,27,8,10.0,11,11
903,43,27,10,10.0,12,20
904,18,24,2,7.0,4,9
905,37,25,9,6.0,12,13
906,30,28,4,9.0,17,22
907,22,23,3,6.0,6,16
908,29,19,5,5.0,8,11
909,31,19,4,10.0,7,8
910,36,22,10,10.0,13,11
911,45,29,10,12.0,10,17
912,43,28,9,14.0,16,28
913,41,27,5,10.0,13,23
914,34,23,8,10.0,10,21
915,30,25,6,12.0,10,23
916,39,28,7,9.0,13,22
917,33,24,5,13.0,15,22
918,40,28,8,8.0,11,24
919,27,24,4,7.0,7,12
920,28,23,8,6.0,10,17
921,31,17,3,4.0,6,24
922,34,27,8,11.0,11,23
923,44,27,10,11.0,19,28
924,45,27,6,11.0,15,28
925,42,25,3,9.0,13,28
926,37,26,8,7.0,12,24
927,35,25,6,10.0,15,20
928,40,27,8,6.0,13,20
929,32,23,7,9.0,11,21
930,33,26,9,13.0,13,20
931,20,16,8,7.0,9,15
932,27,24,10,4.0,5,18
933,30,20,6,9.0,13,23
934,41,23,6,4.0,7,13
935,42,28,10,14.0,11,22
936,42,29,9,11.0,18,18
937,45,30,9,14.0,19,19
938,28,23,10,6.0,10,26
939,20,24,3,3.0,9,19
940,27,18,2,4.0,5,14
941,30,23,6,7.0,10,13
942,33,27,8,7.0,8,15
943,39,24,6,9.0,13,19
944,38,21,2,7.0,6,18
945,28,25,6,10.0,9,18
946,24,22,2,3.0,4,12
947,36,22,6,10.0,11,22
948,30,20,7,6.0,8,13
949,34,27,10,9.0,12,23
950,32,24,6,7.0,13,24
951,44,23,7,10.0,13,20
952,33,24,8,10.0,16,20
953,28,25,7,9.0,10,22
954,31,28,9,12.0,11,17
955,28,20,6,7.0,10,19
956,36,21,9,9.0,6,24
957,30,27,5,7.0,16,25
958,23,21,10,9.0,11,33
959,40,30,10,10.0,13,24
960,43,29,10,14.0,13,30
961,30,18,5,7.0,8,31
962,33,24,6,12.0,8,11
963,40,28,7,10.0,13,22
964,38,24,7,9.0,15,19
965,31,25,5,3.0,7,19
966,22,22,6,8.0,15,27
967,26,25,8,4.0,9,23
968,36,23,4,8.0,10,20
969,37,24,5,6.0,8,20
970,31,29,9,13.0,13,23
971,36,17,10,8.0,12,22
972,43,28,8,10.0,14,20
973,43,28,7,8.0,10,21
974,27,23,7,9.0,13,14
975,36,27,8,9.0,11,22
976,18,16,4,6.0,8,18
977,26,26,8,9.0,12,20
978,38,27,9,13.0,15,26
979,25,27,9,8.0,9,16
980,43,28,10,13.0,13,18
981,40,30,10,15.0,15,34
982,38,30,10,15.0,20,26
983,38,28,8,6.0,14,31
984,34,23,7,9.0,12,20
985,26,25,9,12.0,10,24
986,32,22,6,6.0,10,25
987,36,29,8,14.0,11,27
988,35,26,8,8.0,13,18
989,31,21,10,4.0,8,17
990,36,25,9,9.0,12,28
991,31,24,10,7.0,12,26
992,34,23,7,9.0,10,25
993,43,25,3,8.0,10,20
994,36,30,6,7.0,11,28
995,36,26,5,10.0,5,23
996,35,28,2,7.0,7,8
997,42,29,6,8.0,14,12
998,33,21,7,9.0,13,18
999,26,20,3,5.0,10,19
1000,34,25,2,8.0,11,22
1001,43,30,10,13.0,18,34
1002,38,25,7,9.0,14,23
1003,36,27,7,10.0,11,19
1004,40,30,8,10.0,12,23
1005,42,28,8,7.0,15,24
1006,40,23,6,8.0,9,18
1007,45,29,10,12.0,18,19
1008,43,28,10,8.0,17,22
1009,43,29,9,8.0,13,16
1010,27,23,2,4.0,9,8
1011,36,21,8,8.0,13,27
1012,19,16,2,3.0,6,10
1013,39,27,9,9.0,14,15
1014,33,25,4,6.0,8,17
1015,33,22,7,11.0,14,19
1016,18,24,6,9.0,11,16
1017,45,27,10,11.0,15,23
1018,38,24,9,8.0,17,19
1019,44,26,9,10.0,13,16
1020,33,24,9,10.0,15,15
1021,23,25,4,6.0,9,14
1022,36,24,6,8.0,13,14
1023,44,26,9,12.0,14,25
1024,34,29,10,13.0,13,19
1025,42,28,6,6.0,9,24
1026,34,24,10,10.0,12,29
1027,43,30,8,14.0,12,29
1028,35,25,6,8.0,12,22
1029,40,24,10,13.0,14,21
1030,34,26,6,7.0,7,11
1031,42,30,10,11.0,15,10
1032,38,26,8,12.0,17,18
1033,45,26,7,10.0,12,22
1034,34,28,10,11.0,17,20
1035,32,26,8,11.0,12,16
1036,30,16,4,4.0,6,10
1037,37,28,8,10.0,10,26
1038,43,28,10,10.0,17,27
1039,37,29,6,12.0,8,23
1040,32,23,7,8.0,12,15
1041,37,27,7,12.0,9,25
1042,45,28,5,5.0,14,19
1043,33,25,9,8.0,8,20
1044,22,21,6,9.0,11,16
1045,17,26,9,8.0,14,15
1046,44,29,9,10.0,11,12
1047,34,24,4,6.0,6,12
1048,27,19,8,7.0,9,10
1049,18,24,2,5.0,5,9
1050,34,22,6,8.0,12,20
1051,34,28,10,12.0,17,26
1052,25,23,8,8.0,9,15
1053,38,22,8,5.0,7,4
1054,34,23,5,6.0,12,20
1055,37,27,7,12.0,13,23
1056,41,25,10,12.0,18,17
1057,41,26,6,12.0,16,24
1058,33,24,8,7.0,10,18
1059,41,30,9,9.0,13,17
1060,35,24,3,4.0,11,25
1061,37,23,6,6.0,8,17
1062,34,27,9,9.0,12,19
1063,30,22,9,8.0,13,17
1064,43,29,3,3.0,9,11
1065,41,25,4,5.0,9,18
1066,31,18,4,4.0,7,13
1067,33,26,6,8.0,9,27
1068,34,22,8,8.0,12,22
1069,39,28,9,8.0,10,18
1070,34,26,7,9.0,15,17
1071,45,27,9,11.0,13,18
1072,43,26,7,14.0,16,18
1073,41,28,9,12.0,16,25
1074,33,25,6,9.0,13,18
1075,43,26,9,8.0,10,24
1076,36,25,9,10.0,14,23
1077,41,28,4,11.0,11,21
1078,38,28,10,10.0,16,28
1079,36,28,6,8.0,13,21
1080,41,26,9,11.0,18,21
1081,32,21,6,9.0,8,17
1082,36,25,7,8.0,8,25
1083,29,26,6,11.0,13,20
1084,35,25,3,6.0,6,20
1085,26,19,6,3.0,5,14
1086,44,28,10,11.0,12,16
1087,36,24,10,7.0,12,18
1088,33,28,10,10.0,18,20
1089,39,30,7,9.0,12,31
1090,29,20,5,8.0,8,15
1091,41,27,10,14.0,11,21
1092,37,25,7,7.0,10,14
1093,29,23,6,6.0,8,14
1094,37,24,8,11.0,13,15
1095,38,26,8,15.0,13,20
1096,29,25,7,11.0,8,15
1097,39,29,7,10.0,9,21
1098,38,29,3,12.0,11,18
1099,34,26,10,15.0,12,24
1100,24,15,10,4.0,8,19
1101,26,22,7,10.0,11,23
1102,43,24,10,8.0,15,29
1103,39,27,7,10.0,14,21
1104,37,28,5,11.0,12,20
1105,29,27,8,5.0,6,18
1106,40,26,7,11.0,15,19
1107,39,29,5,8.0,11,29
1108,33,29,6,10.0,12,21
1109,24,17,3,9.0,8,15
1110,33,25,5,7.0,8,13
1111,27,20,4,7.0,8,10
1112,34,27,10,7.0,8,33
1113,41,24,7,7.0,12,16
1114,36,26,7,7.0,12,22
1115,34,24,8,12.0,10,19
1116,43,30,7,3.0,10,23
1117,23,19,3,4.0,8,16
1118,39,27,8,10.0,11,18
1119,37,24,8,12.0,14,20
1120,38,26,10,13.0,16,24
1121,35,26,4,9.0,10,21
1122,38,23,8,10.0,12,22
1123,31,30,10,15.0,11,22
1124,41,27,10,6.0,12,18
1125,31,21,6,7.0,12,17
1126,44,30,7,12.0,8,22
1127,28,27,4,11.0,8,14
1128,34,26,8,9.0,9,21
1129,27,14,8,3.0,9,25
1130,30,24,7,7.0,9,20
1131,39,29,10,10.0,14,27
1132,43,28,10,9.0,11,23
1133,44,29,10,11.0,13,23
1134,39,19,9,10.0,8,21
1135,24,26,7,11.0,11,20
1136,45,26,10,8.0,11,23
1137,24,26,3,4.0,6,29
1138,37,23,10,5.0,10,25
1139,41,20,6,8.0,8,23
1140,29,25,8,6.0,14,23
1141,42,29,10,13.0,14,17
1142,32,25,9,5.0,8,20
1143,41,27,9,12.0,13,29
1144,39,23,6,7.0,10,25
1145,37,25,10,9.0,15,19
1146,31,21,8,6.0,10,22
1147,30,24,8,9.0,10,18
1148,35,27,2,8.0,13,14
1149,40,25,6,8.0,14,18
1150,43,29,6,5.0,8,25
1151,41,21,6,15.0,10,20
1152,40,29,5,10.0,13,30
1153,25,25,8,10.0,14,23
1154,31,21,9,10.0,16,25
1155,38,30,10,13.0,13,23
1156,35,29,8,12.0,16,21
1157,31,26,5,8.0,10,22
1158,36,25,9,5.0,12,16
1159,27,16,9,11.0,9,17
1160,39,25,10,10.0,12,20
1161,37,27,9,13.0,15,20
1162,37,20,4,7.0,11,21
1163,29,21,10,10.0,9,22
1164,39,19,8,4.0,10,21
1165,34,30,6,11.0,7,14
1166,30,18,2,7.0,7,19
1167,18,20,8,7.0,10,15
1168,26,28,8,10.0,10,19
1169,33,28,7,7.0,13,21
1170,39,22,10,10.0,16,21
1171,30,28,10,15.0,13,23
1172,23,20,8,7.0,10,21
1173,45,27,10,9.0,18,27
1174,33,29,8,12.0,16,18
1175,40,30,9,7.0,6,15
1176,42,27,10,12.0,9,32
1177,43,28,10,13.0,15,33
1178,36,27,10,10.0,16,24
1179,45,27,6,8.0,11,21
1180,44,27,10,11.0,14,19
1181,35,23,5,13.0,10,17
1182,45,30,8,11.0,15,24
1183,37,26,3,13.0,14,30
1184,31,24,4,8.0,9,18
1185,34,27,10,6.0,8,24
1186,43,27,9,6.0,12,17
1187,23,15,8,6.0,6,15
1188,37,30,8,14.0,17,23
1189,41,26,10,12.0,16,13
1190,34,26,9,12.0,11,23
1191,40,29,7,15.0,10,28
1192,31,28,5,9.0,17,16
1193,31,29,10,9.0,15,30
1194,39,24,6,11.0,14,27
1195,41,27,8,10.0,12,26
1196,37,30,9,10.0,12,26
1197,30,23,5,5.0,6,16
1198,34,24,8,9.0,12,21
1199,43,26,6,8.0,10,24
1200,44,28,6,8.0,9,16
1201,19,18,4,6.0,5,11
1202,33,29,9,4.0,5,26
1203,35,24,8,8.0,9,21
1204,43,22,9,13.0,10,23
1205,25,24,7,8.0,11,17
1206,39,25,9,7.0,12,19
1207,20,20,10,11.0,9,17
1208,32,25,5,11.0,13,17
1209,34,23,9,6.0,9,13
1210,41,28,10,10.0,12,25
1211,36,29,7,7.0,6,21
1212,36,28,10,8.0,13,15
1213,34,28,10,10.0,11,23
1214,38,28,10,12.0,16,27
1215,44,25,6,10.0,12,16
1216,23,15,5,3.0,8,15
1217,21,22,8,7.0,11,21
1218,28,21,9,9.0,10,20
1219,38,26,5,6.0,12,20
1220,42,24,10,8.0,17,23
1221,33,21,6,6.0,10,23
1222,42,26,10,9.0,12,20
1223,37,28,7,6.0,12,21
1224,34,30,10,10.0,20,20
1225,33,27,6,11.0,9,16
1226,36,20,7,6.0,12,12
1227,45,30,9,14.0,16,18
1228,44,30,10,13.0,16,23
1229,36,29,8,15.0,16,22
1230,31,21,2,5.0,6,18
1231,16,6,4,3.0,4,9
1232,45,25,6,5.0,12,17
1233,45,30,10,13.0,20,24
1234,32,25,8,12.0,10,20
1235,43,29,8,5.0,12,25
1236,38,24,7,12.0,18,21
1237,30,30,10,15.0,12,20
1238,34,28,9,14.0,7,25
1239,35,26,5,7.0,9,27
1240,45,24,9,12.0,9,29
1241,31,19,6,3.0,9,17
1242,40,28,9,13.0,10,10
1243,32,27,10,7.0,14,29
1244,40,26,3,8.0,8,10
1245,34,17,2,3.0,8,12
1246,40,28,10,5.0,15,20
1247,24,23,6,7.0,11,11
1248,35,29,5,8.0,13,26
1249,45,29,6,13.0,13,23
1250,27,23,4,7.0,11,12
1251,39,22,7,7.0,12,24
1252,41,26,8,5.0,9,15
1253,35,27,8,12.0,8,17
1254,34,23,5,9.0,12,12
1255,43,25,10,5.0,11,17
1256,25,19,7,8.0,7,14
1257,36,21,8,8.0,9,22
1258,36,29,7,5.0,8,15
1259,41,26,8,7.0,15,20
1260,45,22,9,4.0,8,19
1261,24,28,6,8.0,7,20
1262,39,23,9,4.0,11,19
1263,40,24,4,9.0,10,19
1264,25,16,8,6.0,6,16
1265,35,20,5,7.0,7,10
1266,34,21,9,10.0,7,21
1267,23,20,9,7.0,13,13
1268,41,27,8,3.0,10,19
1269,36,27,8,9.0,12,14
1270,40,26,6,3.0,5,17
1271,27,24,6,8.0,7,21
1272,31,26,6,5.0,10,16
1273,25,25,3,8.0,7,22
1274,33,20,9,8.0,7,23
1275,36,19,6,10.0,8,19
1276,43,30,7,12.0,6,24
1277,45,29,10,11.0,20,30
1278,39,27,9,13.0,13,15
1279,38,22,6,10.0,7,22
1280,29,20,7,6.0,12,17
1281,19,15,2,7.0,4,10
1282,33,24,9,9.0,14,25
1283,34,29,10,15.0,10,24
1284,34,25,8,13.0,12,20
1285,35,25,5,7.0,12,21
1286,33,23,7,10.0,12,21
1287,34,22,10,4.0,5,22
1288,45,21,8,6.0,12,26
1289,36,24,8,7.0,13,20
1290,34,18,10,4.0,14,15
1291,45,29,8,11.0,14,28
1292,35,26,6,9.0,11,25
1293,24,27,10,7.0,10,27
1294,28,27,7,10.0,13,20
1295,37,25,2,6.0,9,24
1296,21,21,8,8.0,5,12
1297,44,25,3,6.0,10,22
1298,35,19,5,7.0,9,13
1299,24,13,2,6.0,7,20
1300,42,30,6,7.0,11,19
1301,36,27,5,9.0,13,24
1302,45,30,6,13.0,15,27
1303,39,26,8,14.0,13,13
1304,29,18,8,3.0,11,22
1305,28,21,8,6.0,9,24
1306,41,29,6,6.0,8,15
1307,28,17,7,9.0,13,19
1308,34,29,5,7.0,7,16
1309,27,20,7,6.0,10,23
1310,45,24,7,10.0,17,20
1311,12,18,6,6.0,9,16
1312,31,21,7,5.0,9,17
1313,33,26,4,11.0,7,21
1314,45,29,9,12.0,18,24
1315,35,17,7,8.0,12,20
1316,38,25,6,6.0,9,12
1317,29,27,8,9.0,10,15
1318,29,17,3,6.0,4,16
1319,35,24,6,7.0,12,21
1320,29,26,10,9.0,15,21
1321,29,23,2,6.0,6,13
1322,23,22,9,4.0,10,15
1323,34,28,9,11.0,14,20
1324,29,28,10,9.0,15,22
1325,31,24,5,12.0,10,24
1326,36,24,8,9.0,9,21
1327,43,26,4,6.0,13,18
1328,38,23,10,5.0,9,15
1329,38,25,6,8.0,14,21
1330,42,24,8,10.0,14,22
1331,40,27,7,7.0,10,20
1332,34,21,9,5.0,6,13
1333,38,27,6,7.0,14,22
1334,27,20,7,7.0,8,16
1335,35,26,7,11.0,12,21
1336,41,28,2,8.0,5,20
1337,37,24,6,6.0,8,23
1338,38,27,8,12.0,14,23
1339,32,16,4,6.0,9,13
1340,11,24,8,3.0,4,13
1341,32,21,6,10.0,12,19
1342,43,26,7,8.0,10,24
1343,43,22,4,5.0,13,24
1344,31,27,4,8.0,12,16
1345,34,23,8,6.0,14,16
1346,35,23,4,10.0,12,20
1347,34,20,3,7.0,7,15
1348,25,23,5,11.0,11,22
1349,45,22,8,11.0,18,20
1350,24,23,7,8.0,9,26
1351,37,25,6,10.0,16,19
1352,40,25,6,7.0,10,17
1353,33,27,9,9.0,12,21
1354,10,19,8,8.0,12,19
1355,34,28,5,8.0,12,19
1356,33,23,6,8.0,14,23
1357,24,27,7,10.0,10,24
1358,38,28,2,4.0,5,15
1359,34,30,5,8.0,10,15
1360,29,23,8,5.0,9,14
1361,29,23,6,10.0,13,18
1362,34,23,8,10.0,11,22
1363,37,26,6,7.0,12,18
1364,35,24,7,8.0,13,19
1365,33,21,6,6.0,9,18
1366,32,26,4,3.0,6,26
1367,32,25,6,6.0,9,19
1368,39,29,5,13.0,14,19
1369,44,28,7,9.0,13,13
1370,30,24,3,5.0,5,27
1371,35,24,8,10.0,16,14
1372,38,25,6,8.0,12,17
1373,36,26,5,7.0,10,22
1374,40,28,8,13.0,17,16
1375,31,24,5,9.0,13,20
1376,38,27,2,3.0,4,11
1377,29,21,5,7.0,7,17
1378,28,24,4,8.0,14,19
1379,28,18,8,3.0,6,18
1380,32,25,9,8.0,15,15
1381,35,27,8,9.0,17,21
1382,32,25,7,12.0,15,18
1383,34,24,6,8.0,7,16
1384,32,27,6,8.0,12,17
1385,35,21,3,7.0,11,12
1386,20,23,6,3.0,10,14
1387,19,23,9,9.0,13,19
1388,38,23,10,5.0,10,15
1389,34,23,6,12.0,10,22
1390,33,20,6,4.0,12,17
1391,34,27,6,8.0,11,26
1392,44,25,8,11.0,14,19
1393,38,23,8,12.0,15,26
1394,35,29,6,10.0,4,17
1395,32,22,8,9.0,15,23
1396,34,26,8,8.0,15,26
1397,32,29,4,4.0,10,23
1398,35,19,10,6.0,12,21
1399,32,26,9,8.0,10,16
1400,32,23,5,6.0,8,14
1401,41,24,5,10.0,10,19
1402,39,29,10,12.0,15,26
1403,32,25,10,12.0,17,19
1404,37,30,9,8.0,11,18
1405,38,27,9,13.0,14,21
1406,30,29,8,11.0,14,24
1407,36,28,3,3.0,12,11
1408,32,20,6,11.0,13,16
1409,45,25,8,13.0,19,23
1410,38,25,6,6.0,13,16
1411,37,27,10,10.0,15,21
1412,39,26,2,7.0,12,21
1413,22,12,4,8.0,10,19
1414,37,24,8,9.0,15,16
1415,32,16,4,6.0,6,23
1416,37,27,8,12.0,7,22
1417,37,24,7,10.0,13,21
1418,20,21,4,8.0,9,12
1419,31,23,7,9.0,11,21
1420,27,17,6,5.0,8,16
1421,45,28,7,11.0,18,18
1422,36,22,6,12.0,12,19
1423,41,29,8,14.0,15,29
1424,26,24,3,4.0,5,18
1425,32,25,5,9.0,10,18
1426,27,29,10,7.0,9,21
1427,35,24,2,4.0,7,18
1428,45,29,10,13.0,13,19
1429,42,25,6,8.0,12,28
1430,32,19,2,6.0,7,13
1431,38,21,7,5.0,9,18
1432,33,24,8,7.0,12,18
1433,32,21,5,6.0,14,16
1434,30,24,8,4.0,8,19
1435,25,14,6,6.0,6,20
1436,44,28,10,12.0,17,18
1437,33,28,7,9.0,13,19
1438,45,29,6,12.0,10,15
1439,37,24,4,6.0,11,28
1440,35,24,6,12.0,13,17
1441,29,22,9,8.0,13,30
1442,31,25,8,7.0,8,23
1443,20,17,5,6.0,10,17
1444,17,14,2,3.0,4,16
1445,41,24,6,6.0,7,13
1446,26,25,7,7.0,9,10
1447,28,21,7,7.0,9,17
1448,36,23,6,6.0,8,30
1449,37,29,9,12.0,16,21
1450,31,23,6,8.0,13,17
1451,30,24,6,8.0,12,24
1452,40,30,10,14.0,18,31
1453,34,22,5,11.0,14,19
1454,36,24,6,8.0,9,17
1455,37,23,6,4.0,4,20
1456,45,21,6,8.0,9,25
1457,32,20,7,9.0,11,17
1458,31,27,9,11.0,7,23
1459,28,26,2,9.0,9,17
1460,31,26,6,7.0,10,21
1461,34,25,6,11.0,11,22
1462,44,26,8,7.0,12,22
1463,31,26,10,11.0,15,24
1464,30,22,5,8.0,12,14
1465,36,24,6,12.0,11,29
1466,22,25,7,3.0,9,14
1467,34,20,7,7.0,12,20
1468,25,14,7,3.0,15,16
1469,29,19,5,9.0,11,16
1470,34,27,6,11.0,13,21
1471,42,26,6,11.0,14,23
1472,35,25,4,15.0,10,21
1473,44,28,10,14.0,12,17
1474,32,24,4,8.0,7,19
1475,26,23,2,5.0,4,19
1476,27,20,4,5.0,9,20
1477,45,30,4,12.0,14,24
1478,39,26,8,6.0,12,21
1479,36,24,5,8.0,15,16
1480,34,20,7,10.0,11,21
1481,41,27,6,8.0,11,16
1482,33,26,3,3.0,7,16
1483,35,21,2,5.0,4,13
1484,41,24,10,9.0,14,21
1485,36,26,4,9.0,11,13
1486,34,27,5,9.0,11,19
1487,29,19,6,10.0,13,19
1488,36,26,10,9.0,6,15
1489,39,28,9,11.0,15,21
1490,32,22,8,8.0,16,17
1491,32,26,9,12.0,10,24
1492,24,25,10,12.0,14,25
1493,32,22,8,8.0,10,17
1494,34,24,9,13.0,13,22
1495,44,25,7,14.0,10,22
1496,20,18,7,6.0,4,10
1497,39,21,5,6.0,12,16
1498,38,27,10,12.0,14,22
1499,43,24,9,10.0,17,23
1500,45,23,8,7.0,11,23
